data_processamento,data_transacao,num_cartao,descricao_aplicacao,sindicato,operadora,linha,num_carro,sentido,"text(""Nº Validador"")",vl_linha,vl_trans,vl_subsidio,hora,dia_semana,data_dia,pct_subsidio,sentido_label,tipo_aplicacao,anomalia,anomaly_score
2025-08-17 00:00:32,2025-08-16 04:48:00,0104xxxxxx701,400-VALE TRANSPORTE CONVENCIONAL,SETRERJ,Viação Estrela Ltda,443MA - NITEROI X BOA VISTA,77009,2.0,42919,6.35,6.35,0.0,4,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.013399970959074525
2025-08-17 00:00:33,2025-08-16 05:59:00,0104xxxxxx438,400-VALE TRANSPORTE CONVENCIONAL,SETRERJ,Viação Estrela Ltda,443MA - NITEROI X BOA VISTA,77009,2.0,42919,6.35,6.35,0.0,5,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.004762470957640597
2025-08-17 01:14:34,2025-08-17 00:50:00,0104xxxxxx892,400-VALE TRANSPORTE CONVENCIONAL,VANS INTERMUNICIPAIS,VAN560003-JURANDIRxxxxxxxx,560 - PRAÇA XV X VENDA DAS PEDRAS (VIA PPCS),56003,2.0,39820,16.7,4.1,12.6,0,Sunday,2025-08-17,75.45,Volta,400,1.0,-0.004270313686004834
2025-08-17 00:35:31,2025-08-16 14:45:00,0104xxxxxx086,400-VALE TRANSPORTE CONVENCIONAL,BARCAS,Barcas Rio,PXV-NIT - PRAÇA XV X ARARIBOIA,14018,2.0,76910,4.7,4.7,0.0,14,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.02351835003340852
2025-08-17 03:50:06,2025-08-16 23:14:00,0104xxxxxx569,400-VALE TRANSPORTE CONVENCIONAL,METRÔ RIO,Concessão Metroviária do Rio de Janeiro S. A.,L4 JOC - Estação Jardim Oceânico,72116,2.0,37011,7.9,7.9,0.0,23,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.04318763825633154
2025-08-17 02:25:32,2025-08-17 00:13:00,0104xxxxxx569,400-VALE TRANSPORTE CONVENCIONAL,TRANSONIBUS,Transportadora Tinguá Ltda,492 - CENTRAL - VILA DE CAVA,213,1.0,74066,12.65,0.65,12.0,0,Sunday,2025-08-17,94.86,Ida,400,1.0,-0.028519299581037827
2025-08-17 00:00:36,2025-08-16 23:15:00,0104xxxxxx528,400-VALE TRANSPORTE CONVENCIONAL,SETRERJ,Viação Mauá Ltda,422M - Niterói - Portão do Rosa,85112,2.0,51779,6.35,6.35,0.0,23,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.025836507786175966
2025-08-17 02:34:31,2025-08-16 05:31:00,0104xxxxxx198,400-VALE TRANSPORTE CONVENCIONAL,VANS INTERMUNICIPAIS,VAN503009-ANDRE LUxxxxxxxx,503 - NITEROI X ALCANTARA (VIA TRIBOBÓ),50309,2.0,32978,7.0,7.0,0.0,5,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.026100865784824512
2025-08-17 00:00:38,2025-08-16 22:42:00,0104xxxxxx299,400-VALE TRANSPORTE CONVENCIONAL,VANS INTERMUNICIPAIS,VAN560015-JANSEN Dxxxxxxxx,560 - PRAÇA XV X VENDA DAS PEDRAS (VIA PPCS),56015,2.0,43634,16.7,2.2,14.5,22,Saturday,2025-08-16,86.83,Volta,400,1.0,-0.0007559934076680763
2025-08-17 00:07:35,2025-08-16 21:27:00,0104xxxxxx308,400-VALE TRANSPORTE CONVENCIONAL,TRANSONIBUS,Expresso São Francisco Ltda,180I - NOVA IGUAÇU - JAPERI,20,2.0,25164,5.95,5.95,0.0,21,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.000978867742259859
2025-08-17 02:11:32,2025-08-16 21:57:00,0104xxxxxx221,400-VALE TRANSPORTE CONVENCIONAL,TRANSONIBUS,Auto Viação Vera Cruz Ltda,423 - TINGUA X PAVUNA,75,1.0,27492,5.95,5.95,0.0,21,Saturday,2025-08-16,0.0,Ida,400,1.0,-0.000978867742259859
2025-08-17 03:35:32,2025-08-16 05:18:00,0104xxxxxx933,400-VALE TRANSPORTE CONVENCIONAL,VANS INTERMUNICIPAIS,VAN526004-MARCO ANxxxxxxxx,526 - NOVA CAMPINA X CENTRAL,52604,2.0,33468,14.75,0.0,14.75,5,Saturday,2025-08-16,100.0,Volta,400,1.0,-0.0025043627521296186
2025-08-17 06:08:36,2025-08-16 23:02:00,0104xxxxxx594,400-VALE TRANSPORTE CONVENCIONAL,VANS INTERMUNICIPAIS,VAN507006-STANLEY xxxxxxxx,507 - NITEROI X APOLO III (V. JARDIM FLUMINENSE),50706,2.0,45568,8.9,8.55,0.35,23,Saturday,2025-08-16,3.93,Volta,400,1.0,-0.031821354818269754
2025-08-17 03:02:32,2025-08-16 22:07:00,0104xxxxxx611,400-VALE TRANSPORTE CONVENCIONAL,TRANSONIBUS,Transportadora Tinguá Ltda,492 - CENTRAL - VILA DE CAVA,191,2.0,74323,12.65,0.0,12.65,22,Saturday,2025-08-16,100.0,Volta,400,1.0,-0.015311818388988208
2025-08-17 00:01:35,2025-08-16 13:03:00,0104xxxxxx738,400-VALE TRANSPORTE CONVENCIONAL,SETRERJ,Auto Ônibus Fagundes Ltda,430M - CABUÇU - NITERÓI,10402,2.0,33595,8.1,8.1,0.0,13,Saturday,2025-08-16,0.0,Volta,400,1.0,-0.02033810519544843
2025-08-17 00:01:37,2025-08-16 22:21:00,0104xxxxxx519,400-VALE TRANSPORTE CONVENCIONAL,TRANSONIBUS,Empresa de Transportes Flores Ltda,128013 - NOVA IGUAÇU - XEREM,28060,1.0,76483,6.35,6.35,0.0,22,Saturday,2025-08-16,0.0,Ida,400,1.0,-0.01725432776192093
