linha,transacoes,cartoes_unicos,vl_linha_medio,vl_trans_medio,vl_subsidio_total,pct_subsidio_medio
R1CBL - ESTAÇÃO CENTRAL DO BRASIL - SUPERVIA,1855490,6976,7.6,4.88,5054230.05,48.61
L1 CTR - Estação Central - Metrô,1398072,6688,7.88,3.9,5577203.5,65.5
L2 PVN - Estação Pavuna - Metrô,1130213,6507,7.89,4.73,3575495.75,54.55
L1 BTF - Estação Botafogo - Metrô,927654,6485,7.9,5.6,1917579.8,37.07
PXV-NIT - PRAÇA XV X ARARIBOIA,857499,6148,4.7,4.02,276052.2,23.35
L4 JOC - Estação Jardim Oceânico,697377,6349,7.89,6.0,1297105.8,36.59
L1 CRC - Estação Carioca - Metrô,684901,6526,7.89,5.82,1421076.5,40.57
128013 - NOVA IGUAÇU - XEREM,468873,5672,6.35,5.41,438593.0,46.74
L1 URG - Estação Uruguaiana - Metrô,467651,6229,7.9,5.71,1022768.0,41.79
L1 SCP - Estação Siqueira Campos - Metrô,459991,5883,7.9,5.81,960689.8,36.03
R1MRA - ESTAÇÃO MADUREIRA - SUPERVIA,411473,6070,7.6,5.48,870822.35,39.54
L1 LMC - Estação Largo do Machado - Metrô,406054,5842,7.88,5.9,804113.05,35.99
L1 CNL - Estação Cinelândia - Metrô,397677,5940,7.9,5.95,776091.6,38.13
L2 DCT - Estação Del Castilho - Metrô,396732,5906,7.88,5.93,751460.25,36.37
L1 SPN - Estação Saens Peña - Metrô,368926,5778,7.89,5.95,714843.0,36.04
R1SCO - SÃO CRISTÓVÃO,361258,5967,7.6,5.47,769686.5,38.18
L4 AQT - Estação Antero de Quental,342923,5629,7.9,5.68,720838.95,36.06
R3NIU - ESTAÇÃO NOVA IGUAÇU - SUPERVIA,332991,5900,7.6,4.83,922554.2,50.25
415T-MS - BARRA DA TIJUCA - MAGE,315185,5139,17.95,7.71,3198300.55,63.86
L4 NSP - Estação Nossa Senhora da Paz,314258,5513,7.9,5.77,667948.15,36.0
L1 FLA - Estação Flamengo - Metrô,311224,5383,7.9,5.93,614062.25,36.03
L1 URI - Estação Uruguai - Metrô,304645,5440,7.89,5.89,584892.55,36.1
L1 GNO - Estação General Osório - metrô,301623,5653,7.89,5.78,638278.45,36.02
548P - NILOPOLIS - CAMPO GRANDE,295012,5415,6.85,6.02,244536.0,44.98
551 - NOVA IGUAÇU - PENHA,288363,5333,5.95,5.32,181009.8,32.04
541 - NOVA IGUAÇU - PAVUNA ( VIA LIGHT),279564,5168,5.95,5.07,246148.2,33.93
R2CGE - ESTAÇÃO CAMPO GRANDE - SUPERVIA,271653,5737,7.6,5.63,534127.25,39.88
L2 CNT - Estação Coelho Neto - Metrô,270374,5401,7.9,5.12,750808.75,48.34
502 - VALE DO IPE - DUQUE DE CAXIAS,266924,4856,5.95,4.94,268758.8,43.89
L4 JAH - Estação Jardim de Alah,264237,5267,7.89,5.78,557162.4,36.15
L4 SCO - Estação São Conrado,261237,5294,7.89,5.66,579213.95,36.39
499 - PARQUE SAO JOSE - DUQUE DE CAXIAS,256644,4592,5.95,4.93,261584.6,44.95
R3QMO - ESTAÇÃO QUEIMADOS - SUPERVIA,253464,5384,7.6,5.11,632385.1,43.39
L2 VCV - Estação Vicente de Carvalho - Metrô,250977,5223,7.89,5.8,517410.25,38.16
499 - CABUÇU - CENTRAL,248312,5231,12.65,7.05,1389502.45,52.06
603ISEC - NOVA IGUAÇU - MAGÉ,248183,5103,15.42,7.68,2104157.2,66.88
L1 CTG - Estação Cantagalo - Metrô,245422,5397,7.89,5.83,506435.6,35.95
112C - DUQUE DE CAXIAS - CENTRAL (VIA LINHA VERMELHA/AV. BRASIL),241156,5242,9.25,5.86,818256.3,43.0
L2 MRC - Estação Maracanã - Metrô,240551,5670,7.88,5.7,525415.35,40.44
L1 CAV - Estação Cardeal Arcoverde - Metrô,239400,5395,7.9,5.84,491806.65,36.17
L2 IRJ - Estação Irajá - Metrô,238126,5216,7.89,5.74,511641.05,39.26
549M - NITERÓI - SANTA ISABEL ( VIA TRIBOBÓ ),237804,4941,8.1,6.92,279796.2,39.09
490 - CENTRAL - MIGUEL COUTO,237154,5119,12.65,6.97,1347663.45,52.37
R1MNA - MARACANÃ,236909,5718,7.6,5.59,476432.9,36.95
413M - NITERÓI - VENDA DAS PEDRAS ( VIA BR-101 ),235444,5227,10.4,7.61,656707.55,inf
405DKA - CAXIAS - PIABETÁ (LOTE XV),234676,4964,6.03,5.61,294713.6,inf
560 - PRAÇA XV X VENDA DAS PEDRAS (VIA PPCS),222193,5274,16.7,7.86,1963075.7,61.31
428L - NOVA AURORA X BONSUCESSO,222033,4944,5.95,5.33,136741.05,29.98
128014 - J. REDENTOR - CASCADURA,221983,4874,5.95,5.37,129395.45,30.47
128024 - PAVUNA - VALE DO IPÊ,221942,4846,5.95,5.07,195945.75,36.25
567D - CANDELÁRIA - VENDA DAS PEDRAS ( VIA PPCS ),217982,5178,15.2,7.98,1574401.7,56.53
444L - PIABETA X PENHA,216580,5101,13.4,7.68,1238494.1,50.97
L2 SCR - Estação São Cristovão - Metrô,216455,5553,7.89,5.73,467833.0,39.07
128023 - S. VICENTE - MEIER,214311,5013,5.95,5.44,109209.95,28.58
138I - CAXIAS - NILOPOLIS ( VIA JARDIM AMERICA),211907,4311,5.95,5.2,159190.9,34.57
L1 GLR - Estação Glória - Metrô,210562,5422,7.89,5.87,424710.8,37.11
128008 - N. IGUAÇU - CAXIAS ( LOTE XV),208038,5005,5.95,5.11,174346.25,44.8
531MA - NITEROI X J. ALCÂNTARA (V. DR MARCH),207094,5003,6.35,5.68,137807.0,31.82
R2SCZ - ESTAÇÃO SANTA CRUZ - SUPERVIA,206921,5193,7.6,5.8,371512.85,37.55
R3EPA - ESTAÇÃO ENGENHEIRO PEDREIRA - SUPERVIA,206892,4969,7.6,5.28,478996.0,38.74
485 - DUQUE DE CAXIAS X PILARES,203866,4782,5.95,5.12,169718.4,39.61
106 - SÃO JOÃO - NILÓPOLIS,203026,4546,5.95,5.26,139871.25,31.37
R1DDO - ESTAÇÃO DEODORO - SUPERVIA,201617,5350,7.6,5.39,444985.0,41.7
L1 PVG - Estação Presidente Vargas - Metrô,201171,5259,7.89,4.45,693550.8,58.77
503 - NITEROI X ALCANTARA (VIA TRIBOBÓ),201163,5075,7.0,5.99,202588.15,32.95
R5GRM - ESTAÇÃO GRAMACHO - SUPERVIA,200346,5081,7.6,4.33,654854.5,52.93
2146D - MARICA - CASTELO TA,199407,5059,23.78,9.2,2101931.8,54.53
800 - NOVA AURORA X MADUREIRA,197764,4495,5.95,5.19,150914.7,37.9
484M - ALCÂNTARA - NITERÓI ( VIA TRIBOBÓ ),196853,5403,6.35,5.55,158282.15,34.74
L2 ERP - Estação Eng Rubens Paiva - Metrô,194215,4609,7.87,5.44,472860.45,39.5
180I - NOVA IGUAÇU - JAPERI,194021,4454,5.95,5.17,151873.2,40.64
R1EDO - ESTAÇÃO ENGENHO DE DENTRO - SUPERVIA,191522,5374,7.6,5.72,359422.05,36.33
128001 - S.JOÃO X CAXIAS (METRÓPOLE),190756,4386,5.95,4.95,190531.45,46.76
133027 - SANTA SOFIA  X COELHO NETO,189896,4785,6.85,5.95,171553.3,38.64
L2 CNO - Estaçao Cidade Nova - metrô,186452,5290,7.87,4.44,640964.6,62.03
404M - NITERÓI - TRINDADE ( VIA BR-101 ),181080,4665,6.35,5.54,146084.5,36.2
516M - MUTUAPIRA - NITERÓI ( VIA DR. MARCH ),180810,4934,6.35,5.68,120491.75,34.85
553 - PAVUNA - STA. MARIA,179129,4661,5.95,5.17,139067.5,32.47
492 - CENTRAL - VILA DE CAVA,176572,4957,12.65,7.34,937569.75,49.53
L1 CTT - Estação Catete - Metrô,175049,5055,7.9,5.89,351774.35,35.98
500 - BAIRRO VONA (VIA PARQUE FLU - DUQUE DE CAXIAS,172171,4248,5.95,4.99,165415.5,42.29
510 - CABUÇU X CENTRAL,171473,4879,13.9,7.01,1180674.8,57.52
